,0
regenerar,regenerate
terapeutico,therapeutic
piel,skin
hidratar,hydrate
nuevo,new
unico,unique
idea,idea
relajo,Relax
fuerza,force
relacionado,related
reposo,rest
antiinflamatoria,anti-inflammatory
actividad,activity
artrosis,osteoarthritis
cardiovascular,cardiovascular
sanguineo,blood
oxigenacion,oxygenation
tejido,tissue
reduccion,reduction
calmante,soothing
nivel,level
ideal,ideal
aumento,increase
sobrecargar,overburden
excelente,excellent
patologia,pathology
sintoma,symptom
reemplaze,replace
podria,could
exposicion,exposure
vibracion,vibration
particularmente,particularly
presentado,presented
partir,depart
sanacion,healing
osmosis,osmosis
sudar,clash
beber,drink
aire,air
remover,remover
sumado,added
hierba,grass
medicinal,medicinal
bronquio,bronchus
frio,cold
lindo,nice
desestresar,dismiss
principal,principal
elemento,element
compuesto,compound
escencial,escontial
capacidad,ability
traumatologo,traumatologist
esguince,sprain
deportivo,deportivo
combinar,to combine
puesto,position
evolucion,evolution
progresivo,progressive
articulares,joint
deporte,deport
enfermar,ill
provocar,provoke
manejo,management
luxacion,dislocation
fractura,fracture
mover,mover
real,real
afectado,affected
atencion,attention
brazo,arm
solucionar,solve
hospital,hospital
acudir,go
practico,practical
tobillo,ankle
buscar,search
hecho,fact
uso,use
necesitar,need
accidente,accident
razon,reason
caida,drop
golpe,stroke
pierna,leg
escoger,choose
ciudad,ciudad
desbloque,unlock
mismo,same
siquiera,even
duda,duda
normal,normal
dislocamiento,dislocation
confiar,trust
facil,easy
torcedura,twist
tendon,tendon
rapidamente,quickly
charlatan,charlatan
arreglar,arrange
inflamacion,inflammation
recuperar,recover
paso,paso
listo,done
sacar,draw
movido,moved
cuenta,account
dos,two
sitio,place
cerca,fence
ayudariir,help
establecimiento,establishment
demorar,to take time
codo,elbow
derecho,right
dislocacion,dislocation
resolver,resolver
generacion,generation
cronico,chronic
persistente,persistent
hombros,shoulders
artritis,arthritis
manejar,handle
postoperatorio,postoperative
acelerar,accelerate
ortopedica,orthopedic
prevencion,prevention
prevenir,prevent
medicacion,medication
rango,range
personalizado,personalized
adaptado,adapted
hija,daughter
menor,smaller
metido,involved
homeopatia,homeopathy
sustancia,substance
similar,similar
cantidad,amount
homeopatico,homeopatico
nunca,never
usarir,use
lento,slow
largo,largo
basado,based
danar,harm
afectar,affect
abuela,grandmother
vitiligo,vitiligo
estudiado,studied
huevo,egg
cercano,nearby
atractivo,attractive
referencia,reference
naturaleza,nature
madre,mother
tierro,earth
difusion,diffusion
interes,interest
economico,economic
subalterno,subordinate
suceder,happen
eligerio,choose
curacion,healing
plazo,term
medicna,medicine
contener,contain
ingrediente,ingredients
embargo,embargo
podriar,could
complejo,complex
gastritis,gastritis
permanente,permanente
colateral,collateral
ensenar,teach
facilitar,facilitate
autocuracion,self-healing
infima,lowest
dosis,dose
asma,asthma
periodo,period
completamente,completely
efectividad,effectiveness
respaldar,support
comprobar,check
gota,drop
homeopatica,homeopatica
depresion,DEPRESSED
mejoro,improve
eleji,choose
perjudicar,harm
higado,liver
analisis,analysis
tratandome,treating
inmunologico,Immunological
administrar,manage
continuo,continuous
faltar,lack
producir,produce
beneficioso,beneficial
magnesio,magnesium
potasio,potassium
seguridad,security
comparacion,comparison
confiable,reliable
anteriormente,previously
estre,stress
alinear,align
componente,component
igualmente,also
acompanar,accompany
dedicado,dedicated
aplicado,applied
cambio,change
terminar,finish
esrudio,study
respuesta,answer
intentar,attempt
prueba,proof
acupuntura,acupuncture
aguja,needle
milenario,ancient
chino,chinese
comentario,comment
antiguo,ancient
escuchar,listen
gente,people
demostrar,demonstrate
quitar,remove
puntual,punctual
obtener,obtain
mejoria,improvement
clave,key
actualmente,currently
indicado,indicated
mundo,world
especialmente,especially
procedimiento,procedure
aplicacion,application
stress,stress
oriental,oriental
cultura,culture
lumbalgia,low back pain
recomendable,recommendable
padecer,suffer
fino,until
doloroso,painful
china,china
oriente,eastern
ciego,blind
paralisis,paralysis
facial,facial
estimulacion,stimulation
desconocer,ignore
equilibrar,balance
conocedor,connoisseur
hora,time
satisfactorio,satisfying
fin,end
optar,choose
flujo,flow
coca,coca
pago,payment
tierra,earth
entrar,to enter
cierto,true
hoja,leave
accion,action
rito,ritual
respeto,respect
ocurrir,occur
elegi,chosen
espiritual,spiritual
causado,caused
escuche,listen
jalar,pull
cocao,coca
efica,effective
aconsejar,advise
masticar,chew
actuar,act
estimulante,stimulant
ligero,light
combatir,combat
hambre,hunger
sed,sed
cansancio,fatigue
superar,overcome
altura,height
experimentar,experiment
realizado,realized
decada,decade
lectura,reading
predicar,preach
poseer,possess
ala,wing
puedas,can
ojo,eye
mala,bad
bebe,baby
negativo,negative
llorar,cry
vaso,glass
tradicion,tradition
eh,eh
verguenza,shame
vibrar,vibrate
envidia,envy
ojear,browse
vibra,vibration
mama,mum
animo,mood
doler,hurt
dormir,sleep
ojeado, eyed
desaparecer,disappear
proteccion,protection
ritual,ritual
asustado,scared
debil,weak
fe,faith
sobrino,nephew
fiebre,fever
captar,capture
instante,instant
significado,meaning
recuperarte,recover
abuelita,granny
efectivamente,indeed
cama,bed
echar,throw
sencillo,simple
funciono,worked
limpieza,cleaning
espiritu,espiritu
renovacion,renewal
cultural,cultural
cementerio,cemetery
dicho,saying
miedo,fear
remedio,remedy
dado,given
visto,view
calcanse,reach
fallar,fail
musica,music
musicoterapia,music therapy
sonido,sound
paz,peace
musical,musical
pensamiento,thought
alegre,happy
agradable,pleasant
musicoterapeuta,music therapist
profundo,deep
expresar,express
recordar,remember
instrumento,instrument
clasico,classic
genero,gender
variedad,variety
reflexionar,reflect
concentracion,concentration
olvidar,forget
letra,letter
armonia,harmony
terapio,therapy
bailar,dance
amplio,broad
musico,musician
frecuencia,frequency
cambiar,change
emocionalmente,emotionally
influir,influence
feliz,happy
respecto,regard
recuerdo,memory
alegrar,rejoice
relajarte,relax
lluvia,rain
melodia,melody
animicamente,animically
motor,motor
poderoso,powerful
tristeza,sadness
fondo,bottom
lenguaje,language
universal,universal
cerebro,brain
suave,soft
reflexion,reflection
serenidad,serenity
palabra,word
sobretodo,above all
edad,age
leer,read
super,super
gama,range
comunicacion,communication
creatividad,creativity
regueton,Reggaeton
meditar,meditate
tranquilizar, calm
genial,genial
pareja,couple
cognitivo,cognitive
eleccion,choice
conciliar,reconcile
sueno,sleep
distraer,distract
despertar,wake up
introvertido,introvert
determinado,determined
alzheimer,alzheimer
escena,scene
relacionar,relate
libero,free
variado,miscellaneous
causa,cause
arma,weapon
desestresar,relieve
sanemos,heal
descubrimiento,discovery
liberarme,free
oculto,hidden
recapacitar,reflect
barro,mud
arcilla,clay
mineral,mineral
rostro,face
quizas,maybe
escuchado,listened
mascarilla,face mask
ingesta,intake
comercial,commercial
cuidar,care
atenuar,alleviate
estomacal,stomach
absorbe,absorb
terza,smooth
complementario,complementary
leve,mild
alivar,alleviate
cara,face
temporal,temporal
conbinarla,combine
adicional,additional
credito,credit
perar,wait
preferencia,preference
drogasmedicinal,drug
sal,sal
ayudariar,help
topico,topical
desintoxicar,detoxify
exfoliar,exfoliate
liberes,free
cargado,loaded
interior,inner
liberarte,free
estr,stress
sentirte,feel
libre,free
preocupacion,worry
curativo,curative
pelicula,film
logico,logical
posible,possible
inexplicable,inexplicable
denso,denso
rejuvenecer,rejuvenate
volviendola,back
joven,young
curativa,curative
provecho,advantage
desinflamar,disinflame
sugerencia,suggestion
deberiar,should
texto,text
encuesta,survey
conoscir,know
costo,cost
inperfecion,imperfection
suegra,mother-in-law
emplasto,plaster
encontrado,found
recurrir,appeal
chakra,chakra
creyente,believer
curado,healed
maldad,evil
desear,want
liviano,light
estresado,stressed
tarea,task
quitir,take away
pesar,weigh
psicologicamente,psychologically
descubrir,discover
cliente,customer
opinion,opinion
funcionado,work
limpia,clean
malcion,malcion
botar,eject
dio,give
avez,time
x,x
habilidad,ability
curarte,cure
lado,side
aura,aura
reiki,reiki
fluir,flow
tal,turn
ah,ah
especie,species
sorprender,surprise
suponer,suppose
alla,there
cure,cure
ancestro,ancestor
salvado,bran
apreciar,appreciate
adquirir,acquire
suel,sugr
sintetico,synthetic
mencionado,mentioned
renombre,renown
recetar,prescribe
hermano,brother
sugerir,suggest
visitar,visit
curandera,healer
visita,visit
hoy,hoy
limpiarnoa,clean
bano,bath
florecimiento,flowering
leido,read
carta,letter
alejar,remove
empeora,worsen
relajan,relax
hechicero,witch
maldicion,curse
curable,curable
explicable,explicable
factor,factor
definitivamente,definitely
alumbre,alum
azufre,sulfur
sonar,sonar
magnitud,magnitude
asustar,scare
puedes,can
lumbarar,lumbar
manual,manual
region,region
variar,vary
atribuido,attributed
incluir,include
transito,transit
piedra,stone
pasartela,passage
frotarte,rub
encargar,order
corporal,corporal
principalmente,mainly
acercar,approach
plomo,lead
comenzar,begin
espantar,scare
reconfortante,comforting
xq,xq
extremidad,limb
ubicar,locate
procedo,procedure
quemar,burn
repetir,repeat
replicar,replicate
traer,bring
flor,flor
eliminar,eliminate
amor,amor
cansado,tired
revitalizar,revitalize
suerte,luck
atraer,attract
preparar,prepare
curan,They cure
rodear,surround
bana,going to
negocio,business
perfume,perfume
concentrado,concentrated
acompanado,accompanied
vela,vela
incienso,incense
relajanteny,relaxing
bendicion,blessing
universo,universe
purificador,purifier
posteriormente,later
lueg,later
descanso,rest
angustiar,angustiar
mision,mission
florecer,flowering
pensado,thought
inicio,start
etapa,stage
fortuna,fortuna
elevar,raise
rosa,rosa
margarita,margarita
anis,anis
romero,romero
laurel,laurel
restablecer,restore
musculatura,musculature
hidrata,moisturizer
proteger,protect
desestres,Desestres
armonicamente,harmoniously
barato,affordable
mes,mes
notar,uses
usualmente,usually
agradecer,to thank
corazon,corazon
placer,placer
haberles,have
prometer,promise
arrepentirar,sink
gracias,gracias
psicologico,psychological
entender,to understand
conllevar,carry
chacra,ranch
contribuir,contribute
impactar,impact
adicionalmente,additionally
descartar,rule out
podrias,could you
acumulado,accumulated
tn,tn
fundamentalmente,fundamentally
opinar,say
comun,common
dinero,money
repentinamente,suddenly
ambito,scope
atravesar,cross
equilibrio,balance
marca,mark
canalizar,canalize
conexion,connection
incrementar,increase
curiosidad,curiosity
promocionar,promote
duro,stand
critica,criticism
juventud,youth
saliar,go out
gripe,flue
amistad,friendship
magia,magic
acumular,accumulate
acumulir,accumulate
particular,particular
reconocido,recognized
mundialmente,worldwide
herida,wound
calmo,calm
emanar,emanate
considerio,consider
estudiante,student
querido,darling
demostrado,demonstrated
significativo,significant
filosofia,philosophy
holistico,Holistic
proponer,propose
promover,promote
fascinante,fascinating
farmacologico,pharmacological
valor,value
autocuidado,self-care
brindar,toast
herramienta,tool
respetuoso,respectful
consciente,conscious
aspecto,aspect
gratificante,rewarding
finalmente,finally
sencillez,simplicity
versatilidad,versatility
convencer,convince
accesible,accessible
integrar,integrate
cotidiano,daily
enriquecer,enrich
camino,camino
viviente,living
asiente,nods
tacto,touch
intension,intension
global,global
solamente,only
dirigir,lead
suprimir,delete
estancado,stagnant
mentalmente,mentally
estable,stable
potencial,potential
equilibrarte,balance you
calmado,calm
amiga,friend
optir,opt
meditacion,meditation
acople,coupling
exterior,exterior
quimico,chemical
comar,eaten
alimento,food
funcionamiento,operation
celular,cell phone
ultimamente,lately
consumir,consume
procesado,Processing
enferma,sick
consciencia,consciousness
raiz,source
nutrir,nourish
depurar,debug
fundamental,fundamental
fortalecer,strengthen
defensa,defense
alimentado,fed
saludable,healthy
ensalada,salad
jugo,juice
fruta,fruit
afan,will
caro,expensive
interesante,interesting
adecuadamente,properly
oaro,oaro
regularizar,regularize
glucosa,glucose
diabetica,diabetics
regular,regular
ph,ph
alcalinidad,alkalinity
radical,radical
causante,causative
desequilibrio,imbalance
deterioro,deterioration
alteracion,disturbance
